,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
27,27,purpose:major_purch__car__home_impr,0.31976998866431666,1.0938515674807906e-24,purpose,24.296158270981692,24.0,-0.29615827098169234,24.0
28,28,initial_list_status:w,0.2757614180063512,3.2128402985104155e-115,initial_list_status,20.952382319861837,21.0,0.047617680138163365,21.0
29,29,term:36,0.07023511190192475,3.831868998021894e-07,term,5.336471387065151,5.0,-0.336471387065151,5.0
30,30,emp_length:1,0.04300505000676342,0.06584431675084003,emp_length,3.267528343670366,3.0,-0.26752834367036593,3.0
31,31,emp_length:2-4,0.0574553478837863,0.0005217318851217554,emp_length,4.365463536868052,4.0,-0.36546353686805233,4.0
32,32,emp_length:5-6,0.01830619464433543,0.4220279363097771,emp_length,1.390906645980074,1.0,-0.3909066459800741,1.0
33,33,emp_length:7-9,0.023656481373428087,0.22047102509693584,emp_length,1.7974220094391151,2.0,0.20257799056088488,2.0
34,34,emp_length:10,0.09592847128332531,3.119528067757238e-11,emp_length,7.2886556075144195,7.0,-0.28865560751441954,7.0
35,35,month_since_issue_d:<38,0.0,,month_since_issue_d,0.0,0.0,0.0,0.0
36,36,month_since_issue_d:38-39,0.0,,month_since_issue_d,0.0,0.0,0.0,0.0
37,37,month_since_issue_d:40-41,0.0,1.0,month_since_issue_d,0.0,0.0,0.0,0.0
38,38,month_since_issue_d:42-48,0.0,,month_since_issue_d,0.0,0.0,0.0,0.0
39,39,month_since_issue_d:49-52,0.0,,month_since_issue_d,0.0,0.0,0.0,0.0
40,40,month_since_issue_d:53-64,0.0,,month_since_issue_d,0.0,0.0,0.0,0.0
41,41,month_since_issue_d:65-84,-0.4205860072174623,4.9902321997751836e-36,month_since_issue_d,-31.956170247867963,-32.0,-0.043829752132037214,-32.0
42,42,int_rate:<9.548,1.5276706994398512,1.1312861434548413e-91,int_rate,116.07258471805983,116.0,-0.07258471805982936,116.0
43,43,int_rate:9.548-12.025,0.7675947391521954,2.411939433584208e-78,int_rate,58.32193117407384,58.0,-0.3219311740738391,58.0
44,44,int_rate:12.025-15.74,0.43545094237016846,8.44554869893494e-38,int_rate,33.08560962604914,33.0,-0.08560962604914124,33.0
45,45,int_rate:15.74-20.281,0.11236472303111542,5.630899941805212e-05,int_rate,8.537483790278058,9.0,0.46251620972194196,9.0
46,46,month_since_earliest_cr_line:141-164,-0.013592664476778666,0.5908446281571726,month_since_earliest_cr_line,-1.0327721148304803,-1.0,0.03277211483048026,-1.0
47,47,month_since_earliest_cr_line:165-247,-0.07947559706245098,9.821064281984325e-05,month_since_earliest_cr_line,-6.038564447450765,-6.0,0.03856444745076537,-6.0
48,48,month_since_earliest_cr_line:248-270,-0.08789293417776169,0.0008261090307706437,month_since_earliest_cr_line,-6.678114630468357,-7.0,-0.3218853695316426,-7.0
49,49,month_since_earliest_cr_line:271-352,-0.025171078829111238,0.2827262110547768,month_since_earliest_cr_line,-1.9125012876847487,-2.0,-0.0874987123152513,-2.0
50,50,month_since_earliest_cr_line:>352,-0.012612592499062106,0.6303941012839751,month_since_earliest_cr_line,-0.9583061401246658,-1.0,-0.04169385987533425,-1.0
51,51,inq_last_6mths:0,0.5842244222383354,9.166905243427692e-11,inq_last_6mths,44.38943469262284,44.0,-0.38943469262284225,44.0
52,52,inq_last_6mths:1-2,0.41196616763700605,4.864688885355155e-06,inq_last_6mths,31.301233905680174,31.0,-0.3012339056801743,31.0
53,53,inq_last_6mths:3-6,0.16368432441409297,0.07168342683870359,inq_last_6mths,12.43675264540953,12.0,-0.4367526454095305,12.0
54,54,acc_now_delinq:>=1,0.36644576167528264,0.00043049625462099664,acc_now_delinq,27.842588544916257,28.0,0.15741145508374288,28.0
55,55,annual_inc:20k-30k,-0.07113411862745286,0.0902457742432415,annual_inc,-5.404778015155373,-5.0,0.40477801515537326,-5.0
56,56,annual_inc:30k-40k,-0.0019973533211342905,0.9604151630310638,annual_inc,-0.15175912103587885,-0.0,0.15175912103587885,-0.0
57,57,annual_inc:40k-50k,0.10117093296360699,0.011700458584123063,annual_inc,7.686978412120673,8.0,0.31302158787932743,8.0
58,58,annual_inc:50k-60k,0.17116329078965456,2.51146771380879e-05,annual_inc,13.00500531828543,13.0,-0.005005318285430604,13.0
59,59,annual_inc:60k-70k,0.2603212851255197,3.653099228367783e-10,annual_inc,19.779239356181545,20.0,0.22076064381845484,20.0
60,60,annual_inc:70k-80k,0.3347758734594561,2.696042083311906e-15,annual_inc,25.436307018216233,25.0,-0.4363070182162332,25.0
61,61,annual_inc:80k-90k,0.4218611726908409,1.1880500022221669e-21,annual_inc,32.053057458241604,32.0,-0.05305745824160368,32.0
62,62,annual_inc:90k-100k,0.45026084970210584,6.427767283975452e-23,annual_inc,34.2108679844658,34.0,-0.2108679844657999,34.0
63,63,annual_inc:100k-120k,0.531607248401607,8.047963584611347e-32,annual_inc,40.39157614232929,40.0,-0.39157614232929205,40.0
64,64,annual_inc:120k-140k,0.619776014371707,2.180649437790956e-33,annual_inc,47.09064850216686,47.0,-0.09064850216685727,47.0
65,65,annual_inc:>140k,0.5815212287981093,6.531569521205377e-35,annual_inc,44.18404576311402,44.0,-0.1840457631140211,44.0
66,66,dti:<=1.4,-0.3035673836844308,0.00024028677636672577,dti,-23.065082594875154,-23.0,0.06508259487515389,-23.0
67,67,dti:1.4-3.5,-0.10175871116092308,0.14415167308280297,dti,-7.731637863027479,-8.0,-0.2683621369725211,-8.0
68,68,dti:3.5-7.7,-0.07697854015700017,0.19812287852658705,dti,-5.848837794115049,-6.0,-0.1511622058849511,-6.0
69,69,dti:7.7-10.5,-0.1340616706614717,0.024125176871070894,dti,-10.186020214306653,-10.0,0.1860202143066534,-10.0
70,70,dti:10.5-16.1,-0.19553595652426622,0.00066793414797295,dti,-14.856843092828708,-15.0,-0.14315690717129215,-15.0
71,71,dti:16.1-20.3,-0.28422508710936534,8.020704088342888e-07,dti,-21.595452812308576,-22.0,-0.40454718769142417,-22.0
72,72,dti:20.3-21.7,-0.2966123077849013,8.662948559610582e-07,dti,-22.536635176943605,-23.0,-0.4633648230563949,-23.0
73,73,dti:21.7-22.4,-0.3306943515480147,2.762981053081837e-07,dti,-25.126192542617463,-25.0,0.1261925426174635,-25.0
74,74,dti:22.4-35,-0.31337181321970936,3.985224007713256e-08,dti,-23.81002420975534,-24.0,-0.1899757902446595,-24.0
75,75,mths_since_last_delinq:Missing,0.17048968347488241,0.000608407010505156,mths_since_last_delinq,12.953824561765545,13.0,0.0461754382344548,13.0
76,76,mths_since_last_delinq:4-30,0.2596978293236908,2.5354934342835313e-07,mths_since_last_delinq,19.731869117030993,20.0,0.26813088296900744,20.0
77,77,mths_since_last_delinq:31-56,0.2865060884930753,2.0171728159831815e-08,mths_since_last_delinq,21.768763543770376,22.0,0.23123645622962385,16.0
78,78,mths_since_last_delinq:>=57,0.2296583448383116,1.1633660440657006e-05,mths_since_last_delinq,17.449465841839224,17.0,-0.4494658418392241,17.0
79,79,mths_since_last_record:Missing,0.31025736567063633,3.9658222721410046e-05,mths_since_last_record,23.573388148644604,24.0,0.42661185135539625,24.0
80,80,mths_since_last_record:3-20,0.49889845866988347,1.798200904685105e-05,mths_since_last_record,37.90635876625945,38.0,0.09364123374054856,38.0
81,81,mths_since_last_record:21-31,0.4293986168738323,5.377281475848717e-05,mths_since_last_record,32.6257532812411,33.0,0.37424671875889715,33.0
82,82,mths_since_last_record:32-80,0.6865718753910951,5.103149766457881e-18,mths_since_last_record,52.16580523576888,52.0,-0.16580523576887884,52.0
83,83,mths_since_last_record:81-86,0.2190175436571548,0.012752606044318025,mths_since_last_record,16.640976618984634,17.0,0.3590233810153656,17.0
84,84,mths_since_last_record:>=86,0.24699875194143522,0.0013638738751713558,mths_since_last_record,18.766991846141707,19.0,0.2330081538582931,19.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:mortgage_other_none_any,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,month_since_issue_d:>85,0.0,,month_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,month_since_earliest_cr_line:<140,0.0,,month_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20k,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
